"filename", "language", "Properties", "Groovy", "XML", "JSON", "Dart", "YAML", "Markdown", "HTML", "Swift", "C++", "comment", "blank", "total"
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\cubit\counter_cubit.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\cubit\counter_state.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\main.dart", "Dart", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 20, 24, 185
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\router.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 4, 49
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\_routes.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\auth\login.dart", "Dart", 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 3, 14, 274
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\auth\register.dart", "Dart", 0, 0, 0, 0, 669, 0, 0, 0, 0, 0, 4, 14, 687
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\congrats.dart", "Dart", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 18, 3, 173
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\exercise_type.dart", "Dart", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 5, 6, 113
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\favorites.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 5, 59
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\feed_detail.dart", "Dart", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 3, 5, 176
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\feeds.dart", "Dart", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 1, 9, 101
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\history.dart", "Dart", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 2, 7, 125
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\home.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 4, 79
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\navigation_drawer.dart", "Dart", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 4, 3, 116
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\plan\add_plan.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 8, 64
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\plan\exercise_wrapper.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\plan\my_plan.dart", "Dart", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 5, 7, 102
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\profile.dart", "Dart", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 3, 84
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\reminder.dart", "Dart", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 7, 11, 120
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\settings.dart", "Dart", 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 7, 8, 233
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\splash.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\trainer_profile_public.dart", "Dart", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 4, 152
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\training.dart", "Dart", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 4, 10, 174
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\exercise_type\exercise_appbar.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\exercise_type\exercise_item.dart", "Dart", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 3, 5, 88
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\exercise_type\exercise_modal.dart", "Dart", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 6, 14, 189
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\days_item.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\days_wrapper.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\feed_detail_header.dart", "Dart", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 36, 3, 162
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\feeds_item.dart", "Dart", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 3, 109
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\stat.dart", "Dart", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 1, 5, 105
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\workout_item.dart", "Dart", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 3, 5, 77
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\workout_progress.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 3, 62
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\workouts.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 4, 24
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\counter_dialogue.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 5, 109
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\delete_account_dialogue.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\menu_item.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 2, 28
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\navigtion_header.dart", "Dart", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 2, 64
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\reset_dialog.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\my_plan\plan_item.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 1, 6, 186
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\my_plan\plan_stat.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 3, 31
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\plans.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\step_one\add_step_one.dart", "Dart", 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 5, 21, 255
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\step_one\muscle_target.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\step_one\workout_dificulty.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\step_two\add_step_two.dart", "Dart", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 6, 10, 121
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\step_two\exercise_selector.dart", "Dart", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 2, 10, 101
"c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\profile\profile_field.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 3, 31
